artists,lyrics,label
Iwan Fals, Kini ku mengungkap tanya Siapakah dirinya Yang mengaku kekasihmu itu Aku tak bisa memahami Ketika malam tiba Ku rela kau berada Dengan siapa kau melewatinya Aku tak bisa memahami  Aku lelaki tak mungkin Menerimamu bila Ternyata kau mendua Membuatku terluka Tinggalkan saja diriku Yang tak mungkin menunggu Jangan pernah memilih Aku bukan pilihan  Selalu terungkap tanya Benarkan kini dia Wanita yang kukenal hatinya Aku tak bisa memahami You might also like Aku lelaki tak mungkin Menerimamu bila Ternyata kau mendua Membuatku terluka Tinggalkan saja diriku Yang tak mungkin menunggu Jangan pernah memilih Aku bukan pilihan  Tak perlu kau memilihku Aku lelaki Bukan 'tuk dipilih  Aku lelaki tak mungkin Menerimamu bila Ternyata kau mendua Membuatku terluka Tinggalkan saja diriku Yang tak mungkin menunggu Jangan pernah memilih Aku bukan pilihan Aku lelaki tak mungkin Menerimamu bila Ternyata kau mendua Membuatku terluka Tinggalkan saja diriku Yang tak mungkin menunggu Jangan pernah memilih Aku bukan pilihan,1
Dewa,Hidupku tanpa cintamu Bagai malam tanpa bintang Cintaku tanpa sambutmu Bagai panas tanpa hujan Jiwaku berbisik lirih Ku harus milikimu  Aku bisa membuatmu jatuh cinta kepadaku Meski kau tak cinta kepadaku Beri sedikit waktu Biar cinta datang karena telah terbiasa  Simpan mawar yang kuberi Mungkin wanginya mengilhami Sudikah dirimu untuk Kenali aku dulu Sebelum kau ludahi aku Sebelum kau robek hatiku  Aku bisa membuatmu jatuh cinta kepadaku Meski kau tak cinta kepadaku Beri sedikit waktu Biar cinta datang karena telah terbiasa You might also like  Aku bisa membuatmu jatuh cinta kepadaku Meski kau tak cinta kepadaku Beri sedikit waktu Biar cinta datang karena telah terbiasa  Aku bisa membuatmu jatuh cinta kepadaku Meski kau tak cinta Kau tak cinta Aku bisa membuatmu jatuh cinta kepadaku Meski kau tak cinta kepadaku Aku bisa membuatmu jatuh cinta kepadaku Meski kau tak cinta kepadaku Beri sedikit waktu Biar cinta datang karena telah terbiasa  Hidupku tanpa cintamu Bagai malam tanpa bintang Cintaku tanpa sambutmu Bagai panas tanpa hujan,1
Repvblik,Rasa indahnya perihku Rasa hancurnya harapku Kau lepas cintaku Rasakan abadi Sekalipun kau mengerti Sekalipun kau pahami Ku pikir ku salah mengertimu Aku hanya ingin kau tahu Besarnya cintaku Tingginya khayalku bersamamu Tuk lalui waktu yang tersisa kini Di setiap hariku Di sisa akhir nafas hidupku Ow wooo wo wo wooo Walaupun semua hanya ada dalam mimpiku Hanya ada dalam anganku Melewati hidup Rasakan abadi Sekalipun kau mengerti Sekalipun kau pahami Ku pikir ku salah mengertimu You might also likeAku hanya ingin kau tahu Besarnya cintaku Tingginya khayalku bersamamu Tuk lalui waktu yang tersisa kini Di setiap hariku Di sisa akhir nafas hidupku Aku hanya ingin kau tahu Besarnya cintaku Tingginya khayalku bersamamu Tuk lalui waktu yang tersisa kini Di setiap hariku Di sisa akhir nafas hidupku Ow wooo wo wo wooo,1
La Luna,Tinggalah disini kusendiri Kumerasakan sesuatu Yang tlah hilang didalam hidupku Dalam lubuk hatimu Ku yakin kaupun sebenarnya Tak inginkan lepas dariku Tahukah kau kini ku terluka Bantu aku membencimu Ku terlalu mencintaimu Dirimu begitu berarti untukku Kau telah mencinta Dan dicintai kekasihmu Ini tak adil bagiku Hilanglah damba tinggalah hampa Bantu aku membencimu Ku terlalu mencintaimu Dirimu begitu berarti untukku Lupakanku dalam hidupmu Yang pernah mencintaimu Kau memang tercipta bukanlah untukku You might also likeSelepas kau pergi Tinggalah disini kusendiri Kumerasakan sesuatu Yang tlah hilang didalam hidupku,1
Vierra, Kelak kau 'kan menjalani hidupmu sendiri Melukai kenangan yang t’lah kita lalui Yang tersisa hanya aku sendiri disini Kau akan terbang jauh menembus awan Memulai kisah baru tanpa diriku  Seandainya kau tahu Ku tak ingin kau pergi Meninggalkanku sendiri Bersama bayanganku Seandainya kau tahu Aku kan s'lalu cinta Jangan kau lupakan Kenangan kita s'lama ini  Kelak kau ’kan menjalani hidupmu sendiri Melukai kenangan yang t'lah kita lalui Kau akan terbang jauh menembus awan Memulai kisah baru tanpa diriku  Seandainya kau tahu Ku tak ingin kau pergi Meninggalkanku sendiri Bersama bayanganku Seandainya kau tahu Aku kan s'lalu cinta Jangan kau lupakan Kenangan kita s'lama ini S'lama ini You might also like  Seandainya kau tahu Ku tak ingin kau pergi Meninggalkanku sendiri Bersama bayanganku Seandainya kau tahu Aku kan s'lalu cinta Jangan kau lupakan Kenangan kita s'lama ini S'lama ini,1
Iwan Fals," Andai kau ijinkan Walau sekejap memandang Ku buktikan kepadamu Aku memiliki rasa Cinta yang kupendam Tak sempat aku nyatakan Karena kau t'lah memilih Menutup pintu hatimu  Ijinkan aku membuktikan Inilah kesungguhan rasa Ijinkan aku menyayangimu  Sayangku, ooh-ooh-ooh Dengarkanlah isi hatiku Cintaku, ooh-ooh-ooh Dengarkanlah isi hatiku  Cinta yang kupendam Tak sempat aku nyatakan Karena kau t'lah memilih Menutup pintu hatimu You might also like Ijinkan aku membuktikan Inilah kesungguhan rasa Ijinkan aku menyayangimu  Sayangku, ooh-ooh-ooh Dengarkanlah isi hatiku Cintaku, ooh-ooh-ooh Dengarkanlah isi hatiku  Bila cinta tak menyatukan kita Bila kita tak mungkin bersama Ijinkan aku tetap menyayangimu  Sayangku, ooh-ooh-ooh Dengarkanlah isi hatiku Cintaku, ooh-ooh-ooh Dengarkanlah isi hatiku  Aku sayang padamu Ijinkan aku membuktikan",1
Fiersa Besari,"Berapa banyak lagi cemburu? Berapa banyak bual? Terhanyut menepis realita, kau bukanlah milikku Aku pilihan, kaulah jawaban. Jelaskan arti ""adil"" Tolong menetap utuh, karena aku letih berbagi  Mampukah kekasihmu setangguh aku? Menunggu tapi tak ditunggu, bertahan tapi tak ditahan  Sampai kapan kau mau begini, menjalani kisah rahasia? Tak sadarkah dibalik senyuman, sungguhku terluka? Jika kau tidak bisa pastikan, sudahlah aku mengalah saja Kau adalah pemenang, walaupun aku juara kedua  Pada sebuah titik bifurkasi, sudikah kau mengerti? Aku ingin cuma ada kita tanpa dustai dia  Mampukah kekasihmu setangguh aku? Menunggu tapi tak ditunggu, bertahan tapi tak ditahan  Sampai kapan kau mau begini, menjalani kisah rahasia? Tak sadarkah dibalik senyuman, sungguhku terluka? Jika kau tidak bisa pastikan, sudahlah aku mengalah saja Kau adalah pemenang, walaupun aku juara kedua You might also like Ku memberimu yang terbaik Mengapa dia mendapatkan, apa yang terbaik darimu?  Sampai kapan kau mau begini, menjalani kisah rahasia? Tak sadarkah dibalik senyuman, sungguhku terluka? Jika kau tidak bisa pastikan, sudahlah aku mengalah saja Kau adalah pemenang, walaupun aku juara kedua  Juara kedua",1
Marcell,Telah lama sendiri Dalam langkah sepi Tak pernah kukira bahwa akhirnya Tiada dirimu di sisiku  Meski waktu datang Dan berlalu sampai kau tiada bertahan Semua takkan mampu mengubahku Hanyalah kau yang ada di relungku Hanyalah dirimu Mampu membuatku jatuh dan mencinta Kau bukan hanya sekedar indah Kau tak akan terganti  Tak pernah kuduga bahwa akhirnya Tergugat janjimu dan janjiku  Meski waktu datang Dan berlalu sampai kau tiada bertahan Semua takkan mampu mengubahku Hanyalah kau yang ada di relungku Hanyalah dirimu Mampu membuatku jatuh dan mencinta Kau bukan hanya sekedar indah Kau tak akan terganti You might also likeMeski waktu datang Dan berlalu sampai kau tiada bertahan Semua takkan mampu mengubahku Hanyalah kau yang ada di relungku Hanyalah dirimu Mampu membuatku jatuh dan mencinta Kau bukan hanya sekedar indah Kau tak akan terganti Kau tak akan terganti,1
Fiersa Besari," Jangan tanyakan perasaanku Jika kau pun tak bisa beralih Dari masa lalu yang menghantuimu Karena sungguh ini tidak adil Bukan maksudku menyakitimu Namun tak mudah 'tuk melupakan Cerita panjang yang pernah aku lalui Tolong yakinkan saja raguku  Pergi saja engkau pergi dariku Biar kubunuh perasaan untukmu Meski berat melangkah, hatiku hanya tak siap terluka Beri kisah kita sedikit waktu Semesta mengirim dirimu untukku Kita adalah rasa yang tepat di waktu yang salah  Hidup memang sebuah pilihan Tapi hati bukan 'tuk dipilih, oh Bila hanya setengah dirimu hadir Dan setengah lagi untuk dia You might also like Pergi saja engkau pergi dariku Biar kubunuh perasaan untukmu Meski berat melangkah, hatiku hanya tak siap terluka Beri kisah kita sedikit waktu Semesta mengirim dirimu untukku Kita adalah rasa yang tepat di waktu yang salah  Bukan ini yang ku mau Lalu untuk apa kau datang? Rindu tak bisa diatur Kita tak pernah mengerti Kau dan aku menyakitkan  Pergi saja engkau pergi dariku Biar kubunuh perasaan untukmu Meski berat melangkah, hatiku hanya tak siap terluka Beri kisah kita sedikit waktu Semesta mengirim dirimu untukku Kita adalah rasa yang tepat di waktu yang salah Di waktu yang salah",1
Ada Band,Dahulu terasa indah Tak ingin lupakan Bermesraan selalu jadi Satu kenangan manis  Tiada yang salah Hanya aku manusia bodoh Yang biarkan semua ini permainkanku Berulang ulang kali  Mencoba bertahan sekuat hati Layaknya karang yang dihempas sang ombak Jalani hidup dalam buai belaka Serahkan cinta tulus di dalam takdir  Tak ayal tingkah lakumu Buatku putus asa Kadang akal sehat ini Tak cukup membendungnya  Hanya kepedihan Yang selalu datang menertawakanku Engkau belahan jiwa Tega menari indah di atas tangisanku You might also like Mencoba bertahan sekuat hati Layaknya karang yang dihempas sang ombak Jalani hidup dalam buai belaka Serahkan cinta tulus di dalam takdir Tapi sampai kapankah kuharus Menanggungnya kutukan cinta ini  Semua kisah pasti ada akhir Yang harus dilalui Begitu juga akhir kisah ini Yakinku indah  Mencoba bertahan sekuat hati Layaknya karang yang dihempas sang ombak Jalani hidup dalam buai belaka Serahkan cinta tulus di dalam takdir Tapi sampai kapankah kuharus Menanggungnya kutukan cinta ini Bersemayam dalam kalbu,1
